db_schema,table_name,column_name,data_type,description,combined_text,distinct_values
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,TRANSACTION_TYPE,TEXT,"The ""TRANSACTION_TYPE"" column likely represents the category or nature of a transaction, indicating what kind of operation or activity is being recorded, such as a sale, purchase, or return.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: TRANSACTION_TYPE
Data Type: TEXT
Description: The ""TRANSACTION_TYPE"" column likely represents the category or nature of a transaction, indicating what kind of operation or activity is being recorded, such as a sale, purchase, or return.
Distinct Values: OPEN_ORDER",OPEN_ORDER
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,COST_TO_COMPANY,FLOAT,"The ""COST_TO_COMPANY"" column likely represents the total financial expenditure incurred by the company for employing an individual, including salary, benefits, and other related expenses.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: COST_TO_COMPANY
Data Type: FLOAT
Description: The ""COST_TO_COMPANY"" column likely represents the total financial expenditure incurred by the company for employing an individual, including salary, benefits, and other related expenses.
Distinct Values: 4516.0, 81288.0, 4818.5, 2133.0","4516.0, 81288.0, 4818.5, 2133.0"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,TRANSACTION_DATE,TIMESTAMP_NTZ,"The column ""TRANSACTION_DATE"" likely represents the date on which a specific transaction occurred within the technology solutions offerings.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: TRANSACTION_DATE
Data Type: TIMESTAMP_NTZ
Description: The column ""TRANSACTION_DATE"" likely represents the date on which a specific transaction occurred within the technology solutions offerings.
Distinct Values: 2025-07-11 00:00:00, 2025-07-08 00:00:00, 2025-07-07 00:00:00","2025-07-11 00:00:00, 2025-07-08 00:00:00, 2025-07-07 00:00:00"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SM_PRODUCT_LINE__C,TEXT,"The column ""SM_PRODUCT_LINE__C"" likely represents the specific category or division of technology solutions, such as high-performance computing, memory solutions, or LED solutions, that a product belongs to within the company's offerings.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: SM_PRODUCT_LINE__C
Data Type: TEXT
Description: The column ""SM_PRODUCT_LINE__C"" likely represents the specific category or division of technology solutions, such as high-performance computing, memory solutions, or LED solutions, that a product belongs to within the company's offerings.",
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,END_CUSTOMER__C,TEXT,"The column ""END_CUSTOMER__C"" likely represents the identifier or name of the final customer who receives or uses the technology solutions provided.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: END_CUSTOMER__C
Data Type: TEXT
Description: The column ""END_CUSTOMER__C"" likely represents the identifier or name of the final customer who receives or uses the technology solutions provided.
Distinct Values: 0016g00000MdHCAAA3, 001Pg00000HiPjQIAV","0016g00000MdHCAAA3, 001Pg00000HiPjQIAV"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,PLANT__C,TEXT,"The column ""PLANT__C"" likely represents the specific location or facility where a particular operation, production, or business activity takes place within the company's technology solutions operations.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: PLANT__C
Data Type: TEXT
Description: The column ""PLANT__C"" likely represents the specific location or facility where a particular operation, production, or business activity takes place within the company's technology solutions operations.",
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,CUSTOMER_NAME__C,TEXT,"The column ""CUSTOMER_NAME__C"" likely represents the name of a customer associated with the technology solutions provided by the company.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: CUSTOMER_NAME__C
Data Type: TEXT
Description: The column ""CUSTOMER_NAME__C"" likely represents the name of a customer associated with the technology solutions provided by the company.
Distinct Values: ARROW GLOBAL SUPPLY CHAIN, FLEXTRONICS MANUFACTURING EUROPE BV, AVNET EUROPE COMM VA","ARROW GLOBAL SUPPLY CHAIN, FLEXTRONICS MANUFACTURING EUROPE BV, AVNET EUROPE COMM VA"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,MATERIAL_NUMBER,TEXT,"The ""MATERIAL_NUMBER"" column likely represents a unique identifier assigned to each specific product or component within the company's range of technology solutions.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: MATERIAL_NUMBER
Data Type: TEXT
Description: The ""MATERIAL_NUMBER"" column likely represents a unique identifier assigned to each specific product or component within the company's range of technology solutions.
Distinct Values: ST5722G8NOK24KQ2SC, SHSD032GSNIDSI02NA, SPI7212BALC069SBSF, HRCN3P0640JI001","ST5722G8NOK24KQ2SC, SHSD032GSNIDSI02NA, SPI7212BALC069SBSF, HRCN3P0640JI001"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,MARGIN_PERCENTAGE,FLOAT,"The ""MARGIN_PERCENTAGE"" column likely represents the percentage difference between the cost and selling price of a product or service, indicating the profitability margin.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: MARGIN_PERCENTAGE
Data Type: FLOAT
Description: The ""MARGIN_PERCENTAGE"" column likely represents the percentage difference between the cost and selling price of a product or service, indicating the profitability margin.
Distinct Values: -19.234323432343235, 45.52289429055964, 60.5, 70.96286107290234","-19.234323432343235, 45.52289429055964, 60.5, 70.96286107290234"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,PURCHASE_ORDER,TEXT,"The ""PURCHASE_ORDER"" column likely represents a unique identifier or reference number for tracking and managing individual purchase orders within the company's technology solutions transactions.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: PURCHASE_ORDER
Data Type: TEXT
Description: The ""PURCHASE_ORDER"" column likely represents a unique identifier or reference number for tracking and managing individual purchase orders within the company's technology solutions transactions.
Distinct Values: CVCI000003397, CVCK000003767, CVCJ000003956, 20N157587","CVCI000003397, CVCK000003767, CVCJ000003956, 20N157587"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SHIP_TO_COUNTRY,TEXT,"The ""SHIP_TO_COUNTRY"" column likely represents the destination country to which a product or order is being shipped.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: SHIP_TO_COUNTRY
Data Type: TEXT
Description: The ""SHIP_TO_COUNTRY"" column likely represents the destination country to which a product or order is being shipped.
Distinct Values: NL, MX, MY, RO","NL, MX, MY, RO"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,DW_CREATED_DATE,TIMESTAMP_LTZ,"The column ""DW_CREATED_DATE"" likely represents the date on which a record was created in the data warehouse.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: DW_CREATED_DATE
Data Type: TIMESTAMP_LTZ
Description: The column ""DW_CREATED_DATE"" likely represents the date on which a record was created in the data warehouse.
Distinct Values: 2025-07-14 17:43:33.856000+00:00",2025-07-14 17:43:33.856000+00:00
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,QUANTITY,FLOAT,"The ""QUANTITY"" column likely represents the number of units or items of a product or component available, ordered, or used in a transaction or inventory.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: QUANTITY
Data Type: FLOAT
Description: The ""QUANTITY"" column likely represents the number of units or items of a product or component available, ordered, or used in a transaction or inventory.
Distinct Values: 50.0, 900.0, 100.0, 5.0","50.0, 900.0, 100.0, 5.0"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,LAST_NAME,TEXT,"The ""LAST_NAME"" column likely represents the surname or family name of an individual, such as a customer, employee, or contact, within the technology solutions company.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: LAST_NAME
Data Type: TEXT
Description: The ""LAST_NAME"" column likely represents the surname or family name of an individual, such as a customer, employee, or contact, within the technology solutions company.
Distinct Values: Borsani",Borsani
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,EMAIL,TEXT,"The ""EMAIL"" column likely represents the email address of a contact or user associated with the technology solutions provider.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: EMAIL
Data Type: TEXT
Description: The ""EMAIL"" column likely represents the email address of a contact or user associated with the technology solutions provider.
Distinct Values: alessandro.borsani@smartm.com",alessandro.borsani@smartm.com
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,FISCAL_QTR__C,TEXT,"The column ""FISCAL_QTR__C"" likely represents the fiscal quarter in which a financial or business activity occurs within the company's fiscal year.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: FISCAL_QTR__C
Data Type: TEXT
Description: The column ""FISCAL_QTR__C"" likely represents the fiscal quarter in which a financial or business activity occurs within the company's fiscal year.
Distinct Values: 2025-Q4, 2026-Q1","2025-Q4, 2026-Q1"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,TRANSACTION_NAME,TEXT,"The column ""TRANSACTION_NAME"" likely represents the specific name or title given to a particular transaction within the technology solutions offerings.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: TRANSACTION_NAME
Data Type: TEXT
Description: The column ""TRANSACTION_NAME"" likely represents the specific name or title given to a particular transaction within the technology solutions offerings.
Distinct Values: 0003781526-000010, 0003781524-000010, 0003781565-000010, 0003780257-000010","0003781526-000010, 0003781524-000010, 0003781565-000010, 0003780257-000010"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,REVENUE,FLOAT,"The ""REVENUE"" column likely represents the total income generated from the sale of technology solutions, such as high-performance computing, memory solutions, and LED solutions, within a specific period.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: REVENUE
Data Type: FLOAT
Description: The ""REVENUE"" column likely represents the total income generated from the sale of technology solutions, such as high-performance computing, memory solutions, and LED solutions, within a specific period.
Distinct Values: 3787.5, 68175.0, 8845.0, 5400.0","3787.5, 68175.0, 8845.0, 5400.0"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SEGMENT__C,TEXT,"The column ""SEGMENT__C"" likely represents the specific market or customer segment that a particular record or entry is associated with in the context of technology solutions.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: SEGMENT__C
Data Type: TEXT
Description: The column ""SEGMENT__C"" likely represents the specific market or customer segment that a particular record or entry is associated with in the context of technology solutions.
Distinct Values: Asia Dram, Asia OEM Flash, High Reliability","Asia Dram, Asia OEM Flash, High Reliability"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,PRIMARY_STRENGTH,TEXT,"The ""PRIMARY_STRENGTH"" column likely represents the main area of expertise or key capability of a technology solution or product offered by the company.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: PRIMARY_STRENGTH
Data Type: TEXT
Description: The ""PRIMARY_STRENGTH"" column likely represents the main area of expertise or key capability of a technology solution or product offered by the company.
Distinct Values: Revenue Leader, Balanced Performer, Margin Leader","Revenue Leader, Balanced Performer, Margin Leader"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,OPEN_ORDER_MARGIN_AMOUNT,FLOAT,"The ""OPEN_ORDER_MARGIN_AMOUNT"" column likely represents the monetary value of the profit margin for orders that have been placed but not yet fulfilled or completed.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: OPEN_ORDER_MARGIN_AMOUNT
Data Type: FLOAT
Description: The ""OPEN_ORDER_MARGIN_AMOUNT"" column likely represents the monetary value of the profit margin for orders that have been placed but not yet fulfilled or completed.
Distinct Values: 3573608.7, 0.0, 2401227.36, 15206286.910000002","3573608.7, 0.0, 2401227.36, 15206286.910000002"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,SALES_REP,TEXT,"The ""SALES_REP"" column likely represents the name or identifier of the sales representative responsible for managing client accounts or facilitating sales transactions.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: SALES_REP
Data Type: TEXT
Description: The ""SALES_REP"" column likely represents the name or identifier of the sales representative responsible for managing client accounts or facilitating sales transactions.
Distinct Values: House Account, Jim Goudreau, Kevin Doherty, Bryan Heinze","House Account, Jim Goudreau, Kevin Doherty, Bryan Heinze"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,EARLIEST_TRANSACTION_DATE,TIMESTAMP_NTZ,"The column ""EARLIEST_TRANSACTION_DATE"" likely represents the date of the first recorded transaction for a given entity or account.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: EARLIEST_TRANSACTION_DATE
Data Type: TIMESTAMP_NTZ
Description: The column ""EARLIEST_TRANSACTION_DATE"" likely represents the date of the first recorded transaction for a given entity or account.
Distinct Values: 2021-05-31 00:00:00, 2022-08-29 00:00:00, 2021-06-01 00:00:00, 2021-09-02 00:00:00","2021-05-31 00:00:00, 2022-08-29 00:00:00, 2021-06-01 00:00:00, 2021-09-02 00:00:00"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,OPEN_ORDER_COUNT,NUMBER,"The column ""OPEN_ORDER_COUNT"" likely represents the number of customer orders that have been placed but not yet fulfilled or completed.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: OPEN_ORDER_COUNT
Data Type: NUMBER
Description: The column ""OPEN_ORDER_COUNT"" likely represents the number of customer orders that have been placed but not yet fulfilled or completed.
Distinct Values: 109, 0, 102, 440","109, 0, 102, 440"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,TITLE,TEXT,"The ""TITLE"" column likely represents the job title or position name of individuals within the organization or project.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: TITLE
Data Type: TEXT
Description: The ""TITLE"" column likely represents the job title or position name of individuals within the organization or project.
Distinct Values: SM House Account, Sr. Dir. OEM Accounts and International Sales","SM House Account, Sr. Dir. OEM Accounts and International Sales"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,OVERALL_PERFORMANCE_RANK,NUMBER,"The column ""OVERALL_PERFORMANCE_RANK"" likely represents the position or standing of a technology solution's performance compared to others, based on a comprehensive evaluation.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: OVERALL_PERFORMANCE_RANK
Data Type: NUMBER
Description: The column ""OVERALL_PERFORMANCE_RANK"" likely represents the position or standing of a technology solution's performance compared to others, based on a comprehensive evaluation.
Distinct Values: 4, 5, 6, 1","4, 5, 6, 1"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,AVG_REVENUE_PER_TRANSACTION,FLOAT,"The column ""AVG_REVENUE_PER_TRANSACTION"" likely represents the average amount of revenue generated from each individual transaction.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: AVG_REVENUE_PER_TRANSACTION
Data Type: FLOAT
Description: The column ""AVG_REVENUE_PER_TRANSACTION"" likely represents the average amount of revenue generated from each individual transaction.
Distinct Values: 94863.36673641906, 42947.97435897436, 47704.232549317145, 82173.30971217711","94863.36673641906, 42947.97435897436, 47704.232549317145, 82173.30971217711"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,DIVISION,TEXT,"The ""DIVISION"" column likely represents the specific business unit or sector within the company that is responsible for a particular technology solution or service.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: DIVISION
Data Type: TEXT
Description: The ""DIVISION"" column likely represents the specific business unit or sector within the company that is responsible for a particular technology solution or service.
Distinct Values: 20, 537, 646, 80","20, 537, 646, 80"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,TRANSACTION_VOLUME_SCORE,NUMBER,"The column ""TRANSACTION_VOLUME_SCORE"" likely represents a numerical assessment or rating of the volume or frequency of transactions within a specific context or period.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: TRANSACTION_VOLUME_SCORE
Data Type: NUMBER
Description: The column ""TRANSACTION_VOLUME_SCORE"" likely represents a numerical assessment or rating of the volume or frequency of transactions within a specific context or period.
Distinct Values: 100.0, 11.1, 9.1, 37.6","100.0, 11.1, 9.1, 37.6"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI2_SALES_PERFORMANCE_RANKING,LAST_NAME,TEXT,"The ""LAST_NAME"" column likely represents the surname or family name of an individual, such as a customer, employee, or contact, within the dataset.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI2_SALES_PERFORMANCE_RANKING
Column: LAST_NAME
Data Type: TEXT
Description: The ""LAST_NAME"" column likely represents the surname or family name of an individual, such as a customer, employee, or contact, within the dataset.
Distinct Values: Account, Goudreau, Doherty, Heinze","Account, Goudreau, Doherty, Heinze"
